age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
119.26769150983365,Priate,nan,Married-iv-spouse,Profspecialty,Husbnd,Asian-Pac-Islandr,,0.0,0.0,20.0,>50K
620.0,?,-7.479584425199626,Never-married,Prof-specialty,Not-in-family,White,,,0.0,20.0,<=50K
,Self-emp-inc,900.0,Married-civ-spouse,Exec-managerial,,White,Male,-86607.23525205143,0.0,,<=50K
154.183810372689,,nan,Never-maried,Adm-clericl,Own-chld,lack,Mle,nan,649.1072794547999,nan,<=50K
59.0,Local-gov,,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,42.374811715788226,>50K
42.0,Self-emp-inc,14.0,Never-married,Transport-moving,Not-in-family,White,Female,0.0,1330397.7401655084,,>50K
0.0,Self-em-inc,9.0,Married-ci-spouse,,usband,,Femal,nan,431.6763076140632,450.0,>50K
,Private,,Separated,Machine-op-inspct,Unmarried,,Female,0.0,0.0,48.51793690094615,<=50K
27.0,Self-emp-inc,,,Exec-managerial,Husband,Other,Male,0.0,1941.8617061528964,,>50K
,Self-emp-not-inc,14.0,Married-civ-spouse,Prof-specialty,,White,Female,0.0,,,<=50K
560.0,Local-gov,,Widowed,Adm-clerical,Not-in-family,Other,Male,,1320.1955402040307,,<=50K
30.89166033673437,Local-gov,7.0,Never-married,Prof-specialty,Not-in-family,White,,15024000.0,,40.0,<=50K
24.0,Local-gov,1300.0,,Protective-serv,Husband,,Female,0.0,0.0,,>50K
,Private,900.0,Married-civ-spouse,,,White,Female,,,33.0,>50K
39.72332397450286,?,,,Protective-serv,,Amer-Indian-Eskimo,Female,-7200.45518475763,0.0,25.40491625286778,>50K
60.0,State-gov,-6.139058249371558,,Priv-house-serv,Own-child,,Male,0.0,,30.0,<=50K
,Private,27.863085336075304,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,,40.0,>50K
0.0,Sel-emp-inc,13.501014217432374,,Exe-managerial,Not-in-fmily,Whte,Fmale,20211.752495269622,nan,40.0,>50K
,Private,,Never-married,,Not-in-family,White,Female,0.0,,,<=50K
128.92869668260073,Privat,5.0567463780016935,Never-marrid,Sale,ife,,,nan,-306.03721190396493,nan,<=50K
