age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
0.0,Default,nan,Default,Default,Default,Default,Default,0.0,nan,nan,>50K
29.0,Local-gov,,Married-AF-spouse,,Not-in-family,White,Female,,0.0,50.0,<=50K
,,,Married-civ-spouse,,,,,0.0,,,<=50K
0.0,Default,12.0,Default,Default,Default,Default,Default,0.0,1512.3513480986048,nan,<=50K
50.0,Local-gov,18.452609988714222,,,,,,,,,>50K
220.0,,11.0,,Exec-managerial,,Amer-Indian-Eskimo,,,-1290.5999327397008,19.83699976096752,>50K
0.0,Default,13.0,Default,Default,Default,Default,Default,0.0,1440.9294591608827,nan,>50K
36.0,Private,9.0,Never-married,,,,Female,,2079.760332929417,,<=50K
,Self-emp-inc,,Married-civ-spouse,Sales,,,,0.0,0.0,12.79887753621982,>50K
52.0,,900.0,,,Husband,,,,0.0,400.0,<=50K
45.1723822388245,,9.0,,,,White,,,0.0,,<=50K
420.0,Local-gov,13.0,,,,White,,0.0,,,<=50K
,,13.0,,Protective-serv,Other-relative,,,0.0,19770.0,,>50K
137.38198001434867,,-3.3153093613064346,Married-civ-spouse,,,,,5178.0,0.0,,>50K
22.0,,9.0,,Protective-serv,,Black,Male,,0.0,40.0,>50K
30.0,State-gov,,,Transport-moving,Other-relative,White,,,0.0,,<=50K
55.451468866414814,Private,,Married-civ-spouse,Priv-house-serv,,White,,4672.829735462265,,,>50K
0.0,Default,8.2735804163514,Default,Default,Default,Default,Default,0.0,1602.0,400.0,>50K
30.0,,,Never-married,,,,Male,,1680.943526482766,50.0,<=50K
0.0,Default,nan,Default,Default,Default,Default,Default,0.0,0.0,36.40287716484707,<=50K
27.0,Never-worked,1000.0,,Prof-specialty,,White,,,0.0,35.0,<=50K
35.0,,,Never-married,Exec-managerial,,,,,,,<=50K
24.0,,1500.0,Married-civ-spouse,Exec-managerial,,,,,,45.0,>50K
,Private,9.0,,Exec-managerial,,White,,,0.0,840.0,>50K
270.0,,25.678926330158035,,,Not-in-family,,Female,0.0,,,<=50K
,Self-emp-inc,,Married-civ-spouse,Sales,,White,,-33297.68944427761,,,>50K
,,,Married-spouse-absent,Exec-managerial,,White,,0.0,-1604.6835766039007,,>50K
