age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
0.0,Self-emp-not-inc,nan,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,nan,nan,>50K
29.0,Local-gov,,Married-AF-spouse,Prof-specialty,Not-in-family,White,Female,,0.0,50.0,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,0.0,,,<=50K
0.0,Federal-gov,12.0,Never-married,Adm-clerical,Own-child,Black,Male,0.0,1512.3513480986048,nan,<=50K
50.0,Local-gov,18.452609988714222,Married-civ-spouse,Protective-serv,Husband,White,Female,,,,>50K
220.0,Private,11.0,Never-married,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,,-1290.5999327397008,19.83699976096752,>50K
0.0,Private,13.0,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,0.0,1440.9294591608827,nan,>50K
36.0,Private,9.0,Never-married,Machine-op-inspct,Unmarried,White,Female,,2079.760332929417,,<=50K
,Self-emp-inc,,Married-civ-spouse,Sales,Husband,White,Female,0.0,0.0,12.79887753621982,>50K
52.0,Self-emp-not-inc,900.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,,0.0,400.0,<=50K
45.1723822388245,Local-gov,9.0,Widowed,Sales,Wife,White,Male,,0.0,,<=50K
420.0,Local-gov,13.0,Married-AF-spouse,Prof-specialty,Not-in-family,White,Male,0.0,,,<=50K
,Local-gov,13.0,Married-civ-spouse,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,0.0,19770.0,,>50K
137.38198001434867,Self-emp-not-inc,-3.3153093613064346,Married-civ-spouse,Craft-repair,Husband,White,Male,5178.0,0.0,,>50K
22.0,Never-worked,9.0,Married-civ-spouse,Protective-serv,Other-relative,Black,Male,,0.0,40.0,>50K
30.0,State-gov,,Married-civ-spouse,Transport-moving,Other-relative,White,Male,,0.0,,<=50K
55.451468866414814,Private,,Married-civ-spouse,Priv-house-serv,Husband,White,Female,4672.829735462265,,,>50K
0.0,Self-emp-not-inc,8.2735804163514,Married-AF-spouse,Priv-house-serv,Wife,White,Male,0.0,1602.0,400.0,>50K
30.0,Private,,Never-married,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,,1680.943526482766,50.0,<=50K
0.0,Self-emp-not-inc,nan,Never-married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,36.40287716484707,<=50K
27.0,Never-worked,1000.0,Never-married,Prof-specialty,Husband,White,Male,,0.0,35.0,<=50K
35.0,Local-gov,,Never-married,Exec-managerial,Wife,White,Female,,,,<=50K
24.0,Self-emp-not-inc,1500.0,Married-civ-spouse,Exec-managerial,Own-child,White,Female,,,45.0,>50K
,Private,9.0,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,,0.0,840.0,>50K
270.0,Self-emp-not-inc,25.678926330158035,Never-married,Tech-support,Not-in-family,White,Female,0.0,,,<=50K
,Self-emp-inc,,Married-civ-spouse,Sales,Other-relative,White,Male,-33297.68944427761,,,>50K
,Private,,Married-spouse-absent,Exec-managerial,Husband,White,Male,0.0,-1604.6835766039007,,>50K
3.282645602755352,State-gov,,Married-civ-spouse,Prof-specialty,Husband,White,Female,,-518.4744723624211,,>50K
79.22831343423019,Self-emp-not-inc,12.461569669106552,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,-84019.00382113496,-3566.5864323260507,,>50K
360.0,Federal-gov,-209.1818760135686,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,,1590.0,400.0,<=50K
52.0,Private,9.0,Married-AF-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,39299533.91046791,0.0,400.0,<=50K
0.0,Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,45.0,>50K
-7.802138908320401,Self-emp-not-inc,18.886460743188735,Never-married,Priv-house-serv,Own-child,White,Male,-69227.17616484633,0.0,400.0,>50K
,Federal-gov,1300.0,Married-spouse-absent,Exec-managerial,Husband,White,Male,84655.02613902905,,,>50K
132.1740518983571,Private,nan,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,38.0,>50K
125.16798956510763,Private,21.12461194557534,Married-civ-spouse,Prof-specialty,Husband,White,Male,nan,nan,60.0,>50K
,Private,10.0,Married-spouse-absent,Exec-managerial,Own-child,White,Female,0.0,,197.43449246612653,>50K
,,6.0,Married-AF-spouse,,Husband,Amer-Indian-Eskimo,Male,,,40.0,<=50K
45.0,Private,,Married-civ-spouse,Prof-specialty,Husband,White,Female,0.0,,45.0,>50K
280.0,?,13.0,Married-civ-spouse,?,Husband,White,Male,,,40.0,>50K
,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Female,-26195.99691595574,,600.0,>50K
104.38897380233199,Self-emp-not-inc,16.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,600.0,>50K
0.0,Private,1200.0,Married-AF-spouse,Tech-support,Own-child,White,Female,0.0,0.0,70.0,<=50K
27.639207045859045,Self-emp-not-inc,1300.0,Never-married,Exec-managerial,Wife,White,Male,,494.9924160533482,61.167426627600385,<=50K
137.59473587103247,Self-emp-not-inc,nan,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,nan,40.0,>50K
52.58433961910339,Private,,Married-civ-spouse,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,0.0,19020.0,,>50K
186.98586938614045,Private,1000.0,Married-spouse-absent,Craft-repair,Husband,Amer-Indian-Eskimo,Female,0.0,nan,320.0,>50K
0.0,Private,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,nan,0.0,40.0,<=50K
490.0,Private,13.0,Married-spouse-absent,Craft-repair,Husband,White,Female,-28992.323156561415,,34.52519307277853,>50K
0.0,Self-emp-not-inc,5.0,Never-married,Machine-op-inspct,Own-child,Black,Male,-59490.47619101283,0.0,40.0,<=50K
191.55874217240256,Private,-537.3384049004436,Divorced,Prof-specialty,Unmarried,White,Male,nan,-943.4147901897858,50.0,>50K
,Self-emp-not-inc,1400.0,Married-spouse-absent,Priv-house-serv,Own-child,White,Male,0.0,,,>50K
,Private,9.0,Married-spouse-absent,Transport-moving,Husband,White,Male,7688.0,0.0,18.73252223693315,>50K
342.28354273427414,Self-emp-not-inc,1100.0,Married-AF-spouse,Prof-specialty,Not-in-family,White,Male,-23890.68620459144,0.0,18.183895331278034,>50K
130.45971125994438,Private,11.0,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,nan,nan,13.04492387970047,<=50K
29.0,Private,13.0,Never-married,Transport-moving,Not-in-family,White,Female,11616.172152345785,0.0,35.0,>50K
