model,experiment,cleaning_level,cleaning_name,accuracy,precision,recall,f1,n_samples_before,n_samples_after,rows_dropped,cleaning_time,eval_time
LogisticRegression,all_corruptions,1,1_Corrupted_Numerical,0.7533813128179675,0.8283161088085437,0.7533813128179675,0.770363827283662,48842,53726,-4884,0.803459882736206,269.4493932723999
LogisticRegression,all_corruptions,1,1_Corrupted_All,0.7490383422260827,0.6741841835887632,0.7490383422260827,0.6818500465785126,48842,53726,-4884,0,239.29961562156677
LogisticRegression,baseline,0,0_Baseline,0.7676926226711254,0.8273387357702737,0.7676926226711254,0.7828367608166403,48842,48842,0,0,56.82804989814758
LogisticRegression,all_corruptions,1,1_Corrupted_Numerical,0.7676510733341606,0.8254038886720882,0.7676510733341606,0.7822741124091022,48842,53726,-4884,0.7892322540283203,55.64708375930786
LogisticRegression,all_corruptions,1,1_Corrupted_All,0.7531331430698598,0.6471996278208763,0.7531331430698598,0.6651763068140357,48842,53726,-4884,0,46.80489659309387
LogisticRegression,baseline,0,0_Baseline,0.8176666666666667,0.8186678583058555,0.8176666666666667,0.8176420307066513,20000,20000,0,0,1.404181718826294
LogisticRegression,all_corruptions,1,1_Corrupted_Numerical,0.7745454545454545,0.7808654087171848,0.7745454545454545,0.7739376968651793,20000,22000,-2000,2.1277542114257812,1.0751221179962158
LogisticRegression,all_corruptions,1,1_Corrupted_All,0.5178787878787878,0.5445263814437492,0.5178787878787878,0.36874877408162526,20000,22000,-2000,0,0.9929709434509277
LogisticRegression,all_corruptions,2,2_Cleaned_NoCleanlab,0.5162121212121212,0.5131833714419592,0.5162121212121212,0.3893856555812662,22000,22000,0,45.70572018623352,0.8316874504089355
LogisticRegression,all_corruptions,3,3_Cleaned_Cleanlab,0.7938842975206611,0.7964737484037577,0.7938842975206611,0.793504643884512,22000,20166,1834,63.41099524497986,1.8886232376098633
LogisticRegression,baseline,0,0_Baseline,0.8176666666666667,0.8186678583058555,0.8176666666666667,0.8176420307066513,20000,20000,0,0,0.8823564052581787
LogisticRegression,all_corruptions,1,1_Corrupted_Numerical,0.7765151515151515,0.7820356432974264,0.7765151515151515,0.7760283520531313,20000,22000,-2000,0.5296225547790527,0.5423977375030518
LogisticRegression,all_corruptions,1,1_Corrupted_All,0.5172727272727272,0.5161678540982296,0.5172727272727272,0.4038279418269308,20000,22000,-2000,0,0.6748809814453125
LogisticRegression,all_corruptions,2,2_Cleaned_NoCleanlab,0.723030303030303,0.7257786086142907,0.723030303030303,0.7227187523246892,22000,21999,1,48.36473727226257,3.103459358215332
LogisticRegression,all_corruptions,3,3_Cleaned_Cleanlab,0.8151721843287306,0.8154721720238786,0.8151721843287306,0.8149682791835875,22000,20035,1965,83.42553400993347,1.7050912380218506
LogisticRegression,baseline,0,0_Baseline,0.8165,0.8177391949578974,0.8165,0.8164555439130476,20000,20000,0,0,0.6400337219238281
LogisticRegression,all_corruptions,1,1_Corrupted_Numerical,0.7730303030303031,0.7748162231919956,0.7730303030303031,0.772999414663816,20000,22000,-2000,0.32783937454223633,0.5600144863128662
LogisticRegression,all_corruptions,1,1_Corrupted_All,0.5177272727272727,0.5222723819980228,0.5177272727272727,0.3889107677284287,20000,22000,-2000,0,0.5247378349304199
LogisticRegression,all_corruptions,2,2_Cleaned_NoCleanlab,0.7082891347173814,0.7129897203670132,0.7082891347173814,0.7076215924840722,22000,21994,6,52.67409801483154,2.5369961261749268
LogisticRegression,all_corruptions,3,3_Cleaned_Cleanlab,0.7817584223500411,0.7828799424618584,0.7817584223500411,0.7814189521051825,22000,20281,1719,83.41513514518738,2.504319429397583
LogisticRegression,baseline,0,0_Baseline,0.8165,0.8177391949578974,0.8165,0.8164555439130476,20000,20000,0,0,0.8636183738708496
LogisticRegression,all_corruptions,1,1_Corrupted_Numerical,0.7739393939393939,0.7756468833197444,0.7739393939393939,0.773916351737654,20000,22000,-2000,0.3936338424682617,0.7610650062561035
LogisticRegression,all_corruptions,1,1_Corrupted_All,0.5192424242424243,0.5226237800143056,0.5192424242424243,0.4106172186494727,20000,22000,-2000,0,0.3207979202270508
LogisticRegression,all_corruptions,2,2_Cleaned_NoCleanlab,0.7319587628865979,0.7336246894560733,0.7319587628865979,0.7315225730445574,22000,21984,16,44.56324291229248,2.0584380626678467
