batch,experiment,cleaning_name,cleaning_num,train_total,train_valid,test_total,test_valid,accuracy,precision,recall,f1,mae,baseline_acc,level_0_acc,recovery_pct,corrupt_time,cleaning_time,eval_time,n_before,n_after,name,structural_drop,strategy_drop,missing_text,missing_labels,modified,dropped,stats
batch2,05_swapped_labels,0_Corrupted,0,80000,80000,20000,20000,0.47015,0.46472471431283474,0.47015,0.46681164007631615,0.7694,0.51525,0.47015,0.0,0.02844439200089255,0.0,118.39780052700007,100000,100000,No Cleaning,0.0,0.0,,,,,
batch2,05_swapped_labels,1_Basic,1,80000,80000,20000,20000,0.4763,0.47085171006914095,0.4763,0.4728736305397364,0.7609,0.51525,0.47015,13.636363636363619,0.02844439200089255,11.269014280000192,127.53908025199962,100000,100000,Basic Cleaning,0.0,0.0,0.0,0.0,,,
batch2,05_swapped_labels,2_Heuristic,2,78829,78829,19704,19704,0.4721883881445392,0.4667272534558451,0.4721883881445392,0.46882585114281233,0.7639058059277304,0.51525,0.47015,4.519707637559117,0.02844439200089255,5.41581077400042,115.14673406200018,100000,98533,Heuristic Cleaning,0.0,1467.0,,,,,
batch2,05_swapped_labels,3_Semantic,3,80000,80000,20000,20000,0.47775,0.47197439843657774,0.47775,0.4741503477783102,0.75495,0.51525,0.47015,16.851441241685144,0.02844439200089255,24.802666356999907,102.91803885400077,100000,100000,Semantic Cleaning,0.0,0.0,,,99039.0,,
batch2,05_swapped_labels,4_ModelAware,4,80000,80000,20000,20000,0.5054,0.4965752163025343,0.5054,0.49873034178621595,0.74205,0.51525,0.47015,78.1596452328159,0.02844439200089255,441.8684326249986,99.16131786699952,100000,100000,Model Aware Reweighting,,,,,,0.0,"{'n_issues': np.int64(41236), 'issue_rate': np.float64(0.41236), 'avg_conf_clean': np.float64(0.7283256448746793), 'avg_conf_noisy': np.float64(0.6494074496784706), 'avg_weight': np.float64(0.36148035631884096), 'class_noise': {1: 0.34635, 2: 0.4897, 3: 0.4855, 4: 0.44585, 5: 0.2944}}"
batch2,06_combined_broken_chars_missing_text,0_Corrupted,0,80000,80000,20000,20000,0.47975,0.4855647421859626,0.47975,0.4805905934204023,0.70895,0.51525,0.47975,0.0,4.606137435999699,0.0,145.31508158799988,100000,100000,No Cleaning,0.0,0.0,,,,,
batch2,06_combined_broken_chars_missing_text,1_Basic,1,80000,80000,20000,20000,0.4837,0.4888336559560887,0.4837,0.48426267992303074,0.69905,0.51525,0.47975,11.126760563380314,4.606137435999699,12.701790289998826,124.66470089299946,100000,100000,Basic Cleaning,0.0,0.0,8000.0,0.0,,,
batch2,06_combined_broken_chars_missing_text,2_Heuristic,2,72016,72016,17960,17960,0.5047327394209354,0.4979939405878338,0.5047327394209354,0.5006127451867586,0.6620824053452116,0.51525,0.47975,70.37391386178999,4.606137435999699,4.826589047999732,110.58531932900041,100000,89976,Heuristic Cleaning,0.0,10024.0,,,,,
batch2,06_combined_broken_chars_missing_text,3_Semantic,3,80000,80000,20000,20000,0.4735,0.4781827925072431,0.4735,0.4739465923482784,0.71705,0.51525,0.47975,-17.605633802817007,4.606137435999699,23.599695777000306,98.62914166800147,100000,100000,Semantic Cleaning,0.0,0.0,,,99215.0,,
batch2,06_combined_broken_chars_missing_text,4_ModelAware,4,80000,80000,20000,20000,0.5061,0.5065601509545408,0.5061,0.5031766062940772,0.69965,0.51525,0.47975,74.22535211267606,4.606137435999699,420.57334559500123,103.24267347200112,100000,100000,Model Aware Reweighting,,,,,,0.0,"{'n_issues': np.int64(38597), 'issue_rate': np.float64(0.38597), 'avg_conf_clean': np.float64(0.6822449366720224), 'avg_conf_noisy': np.float64(0.6261464087689357), 'avg_weight': np.float64(0.3893569423049032), 'class_noise': {1: 0.3162, 2: 0.47205, 3: 0.46075, 4: 0.4137, 5: 0.26715}}"
