Experiment,Strategy,Baseline,Corrupted,Cleaned,Abs_Gain,Recovery_Pct,Data_Loss,p_value,Significance,Damage_Level
01_missing_text,1_Basic,0.51525,0.41765,0.42085,0.0031999999999999806,3.278688524590146,0.0%,0.5166508589778473,ns,Significant
01_missing_text,2_Heuristic,0.51525,0.41765,0.5116380882889456,0.09398808828894561,96.29927078785416,31.3%,0.0,***,Significant
01_missing_text,3_Semantic,0.51525,0.41765,0.41885,0.0011999999999999789,1.2295081967212902,0.0%,0.8077932744065375,ns,Significant
01_missing_text,4_ModelAware,0.51525,0.41765,0.43655,0.018899999999999972,19.364754098360635,0.0%,0.00013262816739856298,***,Significant
02_broken_chars,1_Basic,0.51525,0.5027,0.50755,0.00484999999999991,38.64541832669266,0.0%,0.3320154045397419,ns,Minor
02_broken_chars,2_Heuristic,0.51525,0.5027,0.5056794712928542,0.002979471292854141,23.74080711437572,3.1%,0.5575887776680908,ns,Minor
02_broken_chars,3_Semantic,0.51525,0.5027,0.4914,-0.011300000000000032,-90.03984063745082,0.0%,0.023809855335893637,*,Minor
02_broken_chars,4_ModelAware,0.51525,0.5027,0.53285,0.03015000000000001,240.23904382470224,0.0%,1.5743251147171122e-09,***,Minor
03_swapped_text,1_Basic,0.51525,0.44175,0.44455,0.0028000000000000247,3.8095238095238426,0.0%,0.57298726659472,ns,Significant
03_swapped_text,2_Heuristic,0.51525,0.44175,0.4438464662875711,0.002096466287571097,2.852335085130744,1.5%,0.675329166400422,ns,Significant
03_swapped_text,3_Semantic,0.51525,0.44175,0.4456,0.00385000000000002,5.238095238095265,0.0%,0.43837601730471354,ns,Significant
03_swapped_text,4_ModelAware,0.51525,0.44175,0.47915,0.037400000000000044,50.88435374149666,0.0%,5.972999872483342e-14,***,Significant
04_missing_labels,1_Basic,0.51525,0.5151818288807815,0.5184182652700954,0.0032364363893139236,4747.518342685831,15.0%,0.5505045201254302,ns,Minor
04_missing_labels,2_Heuristic,0.51525,0.5151818288807815,0.5161001254555231,0.0009182965747416283,1347.0463522799616,16.2%,0.8665022395435193,ns,Minor
04_missing_labels,3_Semantic,0.51525,0.5151818288807815,0.5159468047546193,0.0007649758738378365,1122.1406991802874,15.0%,0.887792439323986,ns,Minor
04_missing_labels,4_ModelAware,0.51525,0.5151818288807815,0.5393079910556667,0.02412616217488528,35390.59128183935,15.0%,8.358945326802925e-06,***,Minor
05_swapped_labels,1_Basic,0.51525,0.47015,0.4763,0.006149999999999989,13.63636363636362,0.0%,0.21802726347455836,ns,Minor
05_swapped_labels,2_Heuristic,0.51525,0.47015,0.4721883881445392,0.0020383881445391605,4.519707637559117,1.5%,0.6852387809703957,ns,Minor
05_swapped_labels,3_Semantic,0.51525,0.47015,0.47775,0.007599999999999996,16.851441241685144,0.0%,0.12798121016420616,ns,Minor
05_swapped_labels,4_ModelAware,0.51525,0.47015,0.5054,0.03524999999999995,78.1596452328159,0.0%,1.7075230118734908e-12,***,Minor
06_combined_broken_chars_missing_text,1_Basic,0.51525,0.47975,0.4837,0.003950000000000009,11.126760563380314,0.0%,0.42921574862534095,ns,Minor
06_combined_broken_chars_missing_text,2_Heuristic,0.51525,0.47975,0.5047327394209354,0.02498273942093543,70.37391386178999,10.0%,2.1698996914842894e-06,***,Minor
06_combined_broken_chars_missing_text,3_Semantic,0.51525,0.47975,0.4735,-0.006250000000000033,-17.605633802817007,0.0%,0.21079123393295718,ns,Minor
06_combined_broken_chars_missing_text,4_ModelAware,0.51525,0.47975,0.5061,0.026349999999999985,74.22535211267606,0.0%,1.3468151505158232e-07,***,Minor
07_combined_swap_text_labels,1_Basic,0.51525,0.4624,0.46685,0.0044500000000000095,8.420056764427642,0.0%,0.3722617602051659,ns,Significant
07_combined_swap_text_labels,2_Heuristic,0.51525,0.4624,0.4626979293544458,0.0002979293544458361,0.5637263092636444,1.5%,0.9527052741715742,ns,Significant
07_combined_swap_text_labels,3_Semantic,0.51525,0.4624,0.46465,0.0022500000000000298,4.257332071901664,0.0%,0.651843008644367,ns,Significant
07_combined_swap_text_labels,4_ModelAware,0.51525,0.4624,0.4974,0.03500000000000003,66.22516556291396,0.0%,2.383870878475136e-12,***,Significant
08_heavy_missing,1_Basic,0.51525,0.4306010322437427,0.4335423719407292,0.0029413396969865113,3.474749633635181,10.0%,0.5730248033693737,ns,Significant
08_heavy_missing,2_Heuristic,0.51525,0.4306010322437427,0.5097787510382844,0.07917771879454172,93.53654379168592,33.7%,0.0,***,Significant
08_heavy_missing,3_Semantic,0.51525,0.4306010322437427,0.4311005050224762,0.0004994727787335229,0.590051824579517,10.0%,0.9237284216360102,ns,Significant
08_heavy_missing,4_ModelAware,0.51525,0.4306010322437427,0.4495809978356179,0.018979965591875203,22.42196933402322,10.0%,0.0002835263218454731,***,Significant
09_all_corruptions,1_Basic,0.51525,0.4613,0.46515,0.00385000000000002,7.136237256719221,0.0%,0.44005701534304054,ns,Significant
09_all_corruptions,2_Heuristic,0.51525,0.4613,0.4776416209824787,0.01634162098247871,30.290307659830894,6.9%,0.0015848426698108486,**,Significant
09_all_corruptions,3_Semantic,0.51525,0.4613,0.45945,-0.0018499999999999628,-3.4291010194623968,0.0%,0.7105123721546776,ns,Significant
09_all_corruptions,4_ModelAware,0.51525,0.4613,0.491,0.029700000000000004,55.050973123262295,0.0%,2.691277201094522e-09,***,Significant
